Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

07:11:32 AM    proc/s   cswch/s
07:11:33 AM      0.00    491.00
07:11:34 AM      0.00    479.00
07:11:35 AM      0.00    498.00
07:11:36 AM      0.00   1657.00
07:11:37 AM      0.00   5561.00
07:11:38 AM      0.00   6036.00
07:11:39 AM      0.00   6113.00
07:11:40 AM      0.00   5789.00
07:11:41 AM      0.00   6038.00
07:11:42 AM      0.00   5920.00
07:11:43 AM      0.00   5806.00
07:11:44 AM      0.00   5779.00
07:11:45 AM      0.00   5882.00
07:11:46 AM      0.00   5461.00
07:11:47 AM      0.00    600.00
07:11:48 AM      0.00    518.00
07:11:49 AM      0.00    481.00
07:11:50 AM      0.00    566.00
07:11:51 AM      0.00    551.00
07:11:52 AM      0.00    582.00
Average:         0.00   3240.40
