Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/21/2020 	_x86_64_	(48 CPU)

08:48:54 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:48:55 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
08:48:56 AM       0      0.00      0.00      0.99      0.00      0.00     99.01
08:48:57 AM       0     16.84      0.00     31.58      0.00      0.00     51.58
08:48:58 AM       0     21.15      0.00     36.54      0.00      0.00     42.31
08:48:59 AM       0     15.31      0.00     33.67      0.00      0.00     51.02
08:49:00 AM       0     12.37      0.00     35.05      0.00      0.00     52.58
08:49:01 AM       0      2.02      0.00      8.08      0.00      0.00     89.90
08:49:02 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
08:49:03 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
08:49:04 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
Average:          0      6.74      0.00     14.49      0.00      0.00     78.77
