Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

07:16:52 AM    proc/s   cswch/s
07:16:53 AM      0.00    504.00
07:16:54 AM      0.00    484.00
07:16:55 AM      0.00    481.19
07:16:56 AM      0.00    619.00
07:16:57 AM      0.00   4073.00
07:16:58 AM      0.00   6297.00
07:16:59 AM      0.00   6600.00
07:17:00 AM      0.00   6397.00
07:17:01 AM      0.00   5943.00
07:17:02 AM      0.00   5888.00
07:17:03 AM      0.00   5924.00
07:17:04 AM      0.00   5798.00
07:17:05 AM      0.00   5884.00
07:17:06 AM      0.00   5918.00
07:17:07 AM      0.00   3828.00
07:17:08 AM      0.00    524.00
07:17:09 AM      0.00    412.00
07:17:10 AM      0.00    460.00
07:17:11 AM      0.00    456.00
07:17:12 AM      0.00    575.00
Average:         0.00   3351.82
