Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/30/2020 	_x86_64_	(48 CPU)

10:20:58 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:22:27 PM       0     22.45      0.00     44.90      0.00      0.00     32.65
10:22:28 PM       0     23.23      0.00     44.44      0.00      0.00     32.32
10:22:29 PM       0     20.93      0.00     43.02      0.00      0.00     36.05
10:22:30 PM       0     25.23      0.00     44.86      0.00      0.00     29.91
10:22:31 PM       0     21.70      0.00     48.11      0.00      0.00     30.19
10:22:32 PM       0     20.21      0.00     46.81      0.00      0.00     32.98
10:22:33 PM       0     24.30      0.00     45.79      0.00      0.00     29.91
10:22:34 PM       0     23.08      0.00     42.86      0.00      0.00     34.07
10:22:35 PM       0     21.65      0.00     45.36      0.00      0.00     32.99
10:22:36 PM       0     20.79      0.00     47.52      0.00      0.00     31.68
10:22:37 PM       0     22.34      0.00     44.68      0.00      0.00     32.98
10:22:38 PM       0     22.92      0.00     43.75      0.00      0.00     33.33
10:22:39 PM       0     24.75      0.00     43.56      0.00      0.00     31.68
10:22:40 PM       0     21.90      0.00     48.57      0.00      0.00     29.52
10:22:41 PM       0     23.00      0.00     45.00      0.00      0.00     32.00
10:22:42 PM       0     21.05      0.00     45.26      0.00      0.00     33.68
10:22:43 PM       0     21.28      0.00     45.74      0.00      0.00     32.98
10:22:44 PM       0     21.57      0.00     47.06      0.00      0.00     31.37
10:22:45 PM       0     21.88      0.00     44.79      0.00      0.00     33.33
10:22:46 PM       0     27.68      0.00     44.64      0.00      0.00     27.68
10:22:47 PM       0     24.11      0.00     47.32      0.00      0.00     28.57
10:22:48 PM       0     23.36      0.00     47.66      0.00      0.00     28.97
10:22:49 PM       0     21.05      0.00     45.26      0.00      0.00     33.68
10:22:50 PM       0     19.57      0.00     45.65      0.00      0.00     34.78
10:22:51 PM       0     22.86      0.00     47.62      0.00      0.00     29.52
10:22:52 PM       0     22.86      0.00     46.67      0.00      0.00     30.48
10:22:53 PM       0     20.75      0.00     49.06      0.00      0.00     30.19
10:22:54 PM       0     21.57      0.00     47.06      0.00      0.00     31.37
10:22:55 PM       0     21.65      0.00     46.39      0.00      0.00     31.96
10:22:56 PM       0     23.33      0.00     41.11      0.00      0.00     35.56
10:22:57 PM       0     23.58      0.00     47.17      0.00      0.00     29.25
10:22:58 PM       0     24.77      0.00     45.87      0.00      0.00     29.36
10:22:59 PM       0     23.08      0.00     46.15      0.00      0.00     30.77
10:23:00 PM       0     21.88      0.00     44.79      0.00      0.00     33.33
10:23:01 PM       0     23.68      0.00     49.12      0.00      0.00     27.19
10:23:02 PM       0     19.59      0.00     47.42      0.00      0.00     32.99
10:23:03 PM       0     21.21      0.00     47.47      0.00      0.00     31.31
10:23:04 PM       0     18.68      0.00     46.15      0.00      0.00     35.16
10:23:05 PM       0     15.79      0.00     42.11      0.00      0.00     42.11
10:23:06 PM       0     19.78      0.00     45.05      0.00      0.00     35.16
10:23:07 PM       0     23.30      0.00     46.60      0.00      0.00     30.10
10:23:08 PM       0     21.35      0.00     42.70      0.00      0.00     35.96
10:23:09 PM       0     23.53      0.00     45.10      0.00      0.00     31.37
