Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

07:12:18 AM    proc/s   cswch/s
07:12:19 AM      0.00    495.00
07:12:20 AM      0.00    533.00
07:12:21 AM      0.00   1707.00
07:12:22 AM      0.00   5418.00
07:12:23 AM      0.00   5107.00
07:12:24 AM      0.00   5058.00
07:12:25 AM      0.00   5081.00
07:12:26 AM      0.00   5241.00
07:12:27 AM      0.00   5152.00
07:12:28 AM      0.00   5049.00
07:12:29 AM      0.00   5239.00
07:12:30 AM      0.00   5100.00
07:12:31 AM      0.00   5274.00
07:12:32 AM      0.00   1830.00
07:12:33 AM      0.00    469.00
07:12:34 AM      0.00    509.00
07:12:35 AM      0.00    593.00
07:12:36 AM      0.00    594.00
07:12:37 AM      0.00    578.00
07:12:38 AM      0.00    481.00
Average:         0.00   2975.40
