Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

12:52:58 AM    proc/s   cswch/s
12:52:59 AM      0.00    566.00
12:53:00 AM      0.00    842.00
12:53:01 AM      0.00    571.00
12:53:02 AM      0.00   2791.00
12:53:03 AM      0.00  12101.00
12:53:04 AM      0.00  12407.00
12:53:05 AM      0.00  12386.00
12:53:06 AM      0.00  12524.00
12:53:07 AM      0.00  12389.00
12:53:08 AM      0.00  12485.00
12:53:09 AM      0.00  12374.00
12:53:10 AM      0.00  12325.00
12:53:11 AM      0.00  12489.00
12:53:12 AM      0.00   9326.73
12:53:13 AM      0.00    583.00
12:53:14 AM      0.00    572.00
12:53:15 AM      0.00    457.00
12:53:16 AM      0.00    513.00
12:53:17 AM      0.00    488.00
12:53:18 AM      0.00    556.00
Average:         0.00   6438.73
