Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/02/2020 	_x86_64_	(48 CPU)

06:50:11 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:50:12 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
06:50:13 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
06:50:14 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
06:50:15 AM       0     11.11      0.00     66.67      0.00      0.00     22.22
06:50:16 AM       0      9.80      0.00     68.63      0.00      0.00     21.57
06:50:17 AM       0      9.80      0.00     57.84      0.00      0.00     32.35
06:50:18 AM       0      8.49      0.00     52.83      0.00      0.00     38.68
06:50:19 AM       0      9.80      0.00     50.98      0.00      0.00     39.22
06:50:20 AM       0     10.28      0.00     51.40      0.00      0.00     38.32
06:50:21 AM       0     10.48      0.00     50.48      0.00      0.00     39.05
06:50:22 AM       0     11.00      0.00     49.00      0.00      0.00     40.00
06:50:23 AM       0      8.14      0.00     45.35      0.00      0.00     46.51
06:50:24 AM       0      8.70      0.00     46.74      0.00      0.00     44.57
06:50:25 AM       0      5.21      0.00     30.21      0.00      0.00     64.58
06:50:26 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
06:50:27 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
06:50:28 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
06:50:29 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
06:50:30 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
06:50:31 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
Average:          0      5.16      0.00     28.61      0.00      0.00     66.23
