CPU: Intel Skylake microarchitecture, speed 2.701e+06 MHz (estimated)
Counted cpu_clk_unhalted events () with a unit mask of 0x00 (Core cycles when at least one thread on the physical core is not in halt state) count 2100000
samples  %        image name               app name                 symbol name
569       0.0998  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    evbuffer_unfreeze
538       0.0943  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    event_add_nolock_
523       0.0917  server                   server                   memmove_movnt1x64b(char*, char const*)
518       0.0908  server                   server                   plog::append(int, unsigned char*, unsigned char*)
515       0.0903  libtbbmalloc.so.2        libtbbmalloc.so.2        rml::internal::internalPoolMalloc(rml::internal::MemoryPool*, unsigned long)
507       0.0889  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    event_queue_remove_active
503       0.0882  server                   server                   tbb::strict_ppl::internal::concurrent_queue_base_v3<queue_task>::internal_try_pop(void*)
497       0.0871  libglib-2.0.so.0.4600.2  libglib-2.0.so.0.4600.2  /usr/lib64/libglib-2.0.so.0.4600.2
494       0.0866  server                   server                   tbb::internal::atomic_backoff::atomic_backoff()
488       0.0856  server                   server                   CityHash64(char const*, unsigned long)
480       0.0842  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    evbuffer_add
468       0.0821  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    epoll_dispatch
467       0.0819  server                   server                   hikv::insert(int, unsigned char*, unsigned char*)
462       0.0810  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    event_active_nolock_
461       0.0808  server                   server                   tbb::internal::machine_load_store<long, 8ul>::store_with_release(long volatile&, long)
454       0.0796  libc-2.17.so             libc-2.17.so             epoll_ctl
451       0.0791  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    bufferevent_readcb
432       0.0757  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    event_base_loop
432       0.0757  server                   server                   CityHash64WithSeed(char const*, unsigned long, unsigned long)
426       0.0747  server                   server                   tbb::strict_ppl::internal::micro_queue_pop_finalizer<queue_task>::~micro_queue_pop_finalizer()
424       0.0743  libpthread-2.17.so       libpthread-2.17.so       pthread_mutex_trylock
409       0.0717  libc-2.17.so             libc-2.17.so             readv
408       0.0715  server                   server                   tbb::strict_ppl::internal::micro_queue_pop_finalizer<queue_task>::micro_queue_pop_finalizer(tbb::strict_ppl::internal::micro_queue<queue_task>&, tbb::strict_ppl::internal::concurrent_queue_base_v3<queue_task>&, unsigned long, tbb::strict_ppl::internal::concurrent_queue_rep_base::page*)
387       0.0679  server                   server                   tbb::internal::no_copy::no_copy()
381       0.0668  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    evbuffer_read
