CPU: Intel Skylake microarchitecture, speed 2.701e+06 MHz (estimated)
Counted cpu_clk_unhalted events () with a unit mask of 0x00 (Core cycles when at least one thread on the physical core is not in halt state) count 2100000
samples  %        image name               app name                 symbol name
32        0.0056  libgdbm.so.4.0.0         libgdbm.so.4.0.0         /usr/lib64/libgdbm.so.4.0.0
31        0.0054  libc-2.17.so             libc-2.17.so             _int_free
31        0.0054  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    bufferevent_add_event_
31        0.0054  libjemalloc.so.2         libjemalloc.so.2         je_extent_heap_first
31        0.0054  libtbbmalloc.so.2        libtbbmalloc.so.2        scalable_aligned_free
31        0.0054  updatedb                 updatedb                 /usr/bin/updatedb
30        0.0053  libgobject-2.0.so.0.4600.2 libgobject-2.0.so.0.4600.2 /usr/lib64/libgobject-2.0.so.0.4600.2
29        0.0051  libc-2.17.so             libc-2.17.so             __strcmp_sse42
29        0.0051  libjemalloc.so.2         libjemalloc.so.2         extent_split_interior.isra.69
28        0.0049  libpython2.7.so.1.0      libpython2.7.so.1.0      /usr/lib64/libpython2.7.so.1.0
27        0.0047  libjemalloc.so.2         libjemalloc.so.2         extent_rtree_leaf_elms_lookup
27        0.0047  server                   server                   operator new(unsigned long, void*)
27        0.0047  server                   server                   tbb::cache_aligned_allocator<char>::deallocate(char*, unsigned long)
27        0.0047  sshd                     sshd                     /usr/sbin/sshd
26        0.0046  libc-2.17.so             libc-2.17.so             __gconv_transform_utf8_internal
26        0.0046  libc-2.17.so             libc-2.17.so             malloc
26        0.0046  libman-2.6.3.so          libman-2.6.3.so          /usr/lib64/man-db/libman-2.6.3.so
26        0.0046  server                   server                   void tbb::internal::suppress_unused_warning<unsigned char>(unsigned char const&)
25        0.0044  libjemalloc.so.2         libjemalloc.so.2         extent_size_quantize_ceil
25        0.0044  libjemalloc.so.2         libjemalloc.so.2         je_extent_heap_remove
24        0.0042  libc-2.17.so             libc-2.17.so             msort_with_tmp.part.0
23        0.0040  libpthread-2.17.so       libpthread-2.17.so       pthread_cond_timedwait@@GLIBC_2.3.2
23        0.0040  libz.so.1.2.7            libz.so.1.2.7            /usr/lib64/libz.so.1.2.7
22        0.0039  libcrypto.so.1.0.2k      libcrypto.so.1.0.2k      /usr/lib64/libcrypto.so.1.0.2k
21        0.0037  irqbalance               irqbalance               /usr/sbin/irqbalance
21        0.0037  libpthread-2.17.so       libpthread-2.17.so       pthread_cond_wait@@GLIBC_2.3.2
21        0.0037  libtbb.so.2              libtbb.so.2              tbb::internal::NFS_Free(void*)
19        0.0033  libtbbmalloc.so.2        libtbbmalloc.so.2        rml::internal::Bin::addPublicFreeListBlock(rml::internal::Block*)
18        0.0032  libc-2.17.so             libc-2.17.so             __poll_nocancel
18        0.0032  libc-2.17.so             libc-2.17.so             __strncmp_sse42
18        0.0032  libc-2.17.so             libc-2.17.so             vfprintf
18        0.0032  libjemalloc.so.2         libjemalloc.so.2         arena_choose
18        0.0032  libtbbmalloc.so.2        libtbbmalloc.so.2        unsigned int rml::internal::getIndexOrObjectSize<true>(unsigned int)
18        0.0032  pcscd                    pcscd                    /usr/sbin/pcscd
16        0.0028  libjemalloc.so.2         libjemalloc.so.2         __popcountdi2
15        0.0026  anon (tgid:66682 range:0x7f29dc37f000-0x7f29dc393000) gnome-shell              anon (tgid:66682 range:0x7f29dc37f000-0x7f29dc393000)
15        0.0026  libmandb-2.6.3.so        libmandb-2.6.3.so        /usr/lib64/man-db/libmandb-2.6.3.so
15        0.0026  swrast_dri.so            swrast_dri.so            /usr/lib64/dri/swrast_dri.so
14        0.0025  libc-2.17.so             libc-2.17.so             __strncasecmp_l_avx
14        0.0025  libc-2.17.so             libc-2.17.so             malloc_consolidate
14        0.0025  libjemalloc.so.2         libjemalloc.so.2         je_base_extent_hooks_get
13        0.0023  libc-2.17.so             libc-2.17.so             __memcpy_sse2
13        0.0023  libc-2.17.so             libc-2.17.so             fwrite
13        0.0023  libdbus-glib-1.so.2.2.2  libdbus-glib-1.so.2.2.2  /usr/lib64/libdbus-glib-1.so.2.2.2
13        0.0023  libjemalloc.so.2         libjemalloc.so.2         je_extent_heap_insert
12        0.0021  libc-2.17.so             libc-2.17.so             __GI___mempcpy
12        0.0021  libc-2.17.so             libc-2.17.so             free
12        0.0021  libc-2.17.so             libc-2.17.so             internal_fnwmatch
12        0.0021  libjemalloc.so.2         libjemalloc.so.2         je_extent_alloc_wrapper
12        0.0021  libjemalloc.so.2         libjemalloc.so.2         je_extents_alloc
12        0.0021  libpthread-2.17.so       libpthread-2.17.so       __pthread_disable_asynccancel
12        0.0021  libpthread-2.17.so       libpthread-2.17.so       __pthread_mutex_unlock_usercnt
11        0.0019  libavahi-common.so.3.5.3 libavahi-common.so.3.5.3 /usr/lib64/libavahi-common.so.3.5.3
11        0.0019  libjemalloc.so.2         libjemalloc.so.2         extent_interior_register
11        0.0019  libpthread-2.17.so       libpthread-2.17.so       __pthread_enable_asynccancel
10        0.0018  anon (tgid:66682 range:0x7f29dc32b000-0x7f29dc32f000) gnome-shell              anon (tgid:66682 range:0x7f29dc32b000-0x7f29dc32f000)
10        0.0018  libc-2.17.so             libc-2.17.so             sched_yield
10        0.0018  libjemalloc.so.2         libjemalloc.so.2         je_tcache_alloc_small_hard
10        0.0018  libpthread-2.17.so       libpthread-2.17.so       pthread_setspecific
10        0.0018  libpthread-2.17.so       libpthread-2.17.so       read
9         0.0016  anon (tgid:66682 range:0x7f29dc700000-0x7f29dc701000) gnome-shell              anon (tgid:66682 range:0x7f29dc700000-0x7f29dc701000)
9         0.0016  ld-2.17.so               ld-2.17.so               do_lookup_x
9         0.0016  libavahi-core.so.7.0.2   libavahi-core.so.7.0.2   /usr/lib64/libavahi-core.so.7.0.2
9         0.0016  libc-2.17.so             libc-2.17.so             _IO_file_xsputn@@GLIBC_2.2.5
9         0.0016  libc-2.17.so             libc-2.17.so             __memmove_sse2
9         0.0016  libc-2.17.so             libc-2.17.so             __strchr_sse42
9         0.0016  libjemalloc.so.2         libjemalloc.so.2         je_bitmap_init
9         0.0016  libpcsclite.so.1.0.0     libpcsclite.so.1.0.0     /usr/lib64/libpcsclite.so.1.0.0
8         0.0014  anon (tgid:66682 range:0x7f29dc711000-0x7f29dc731000) gnome-shell              anon (tgid:66682 range:0x7f29dc711000-0x7f29dc731000)
8         0.0014  dbus-daemon              dbus-daemon              /usr/bin/dbus-daemon
8         0.0014  libc-2.17.so             libc-2.17.so             __GI_strlen
8         0.0014  libc-2.17.so             libc-2.17.so             poll
8         0.0014  libc-2.17.so             libc-2.17.so             readdir
8         0.0014  libjemalloc.so.2         libjemalloc.so.2         arena_bin_lower_slab.isra.55
8         0.0014  libjemalloc.so.2         libjemalloc.so.2         arena_slab_dalloc
8         0.0014  libjemalloc.so.2         libjemalloc.so.2         base_extent_bump_alloc_post
8         0.0014  libpthread-2.17.so       libpthread-2.17.so       __recvmsg_nocancel
7         0.0012  libc-2.17.so             libc-2.17.so             __strncpy_sse2_unaligned
7         0.0012  libjemalloc.so.2         libjemalloc.so.2         je_extent_alloc
6         0.0011  ld-2.17.so               ld-2.17.so               strcmp
6         0.0011  libc-2.17.so             libc-2.17.so             _IO_vfscanf
6         0.0011  libc-2.17.so             libc-2.17.so             _dl_addr
6         0.0011  libc-2.17.so             libc-2.17.so             fnmatch@@GLIBC_2.2.5
6         0.0011  libjemalloc.so.2         libjemalloc.so.2         extent_record.isra.87
6         0.0011  libpthread-2.17.so       libpthread-2.17.so       __lll_lock_wait
5        8.8e-04  anon (tgid:67080 range:0x7fcab18eb000-0x7fcab18fb000) firefox                  anon (tgid:67080 range:0x7fcab18eb000-0x7fcab18fb000)
5        8.8e-04  libc-2.17.so             libc-2.17.so             _IO_default_xsputn
5        8.8e-04  libc-2.17.so             libc-2.17.so             __GI_____strtoll_l_internal
5        8.8e-04  libc-2.17.so             libc-2.17.so             __close_nocancel
5        8.8e-04  libc-2.17.so             libc-2.17.so             __gconv_transform_internal_utf8
5        8.8e-04  libc-2.17.so             libc-2.17.so             __getdents
5        8.8e-04  libc-2.17.so             libc-2.17.so             __mbsrtowcs_l
5        8.8e-04  libc-2.17.so             libc-2.17.so             __strnlen_sse2
5        8.8e-04  libc-2.17.so             libc-2.17.so             fgetc
5        8.8e-04  libc-2.17.so             libc-2.17.so             mbrtoc32
5        8.8e-04  libcoolkeypk11.so        libcoolkeypk11.so        /usr/lib64/pkcs11/libcoolkeypk11.so
5        8.8e-04  libgirepository-1.0.so.1.0.0 libgirepository-1.0.so.1.0.0 /usr/lib64/libgirepository-1.0.so.1.0.0
5        8.8e-04  libjemalloc.so.2         libjemalloc.so.2         arena_maybe_decay
5        8.8e-04  libpthread-2.17.so       libpthread-2.17.so       pthread_cond_signal@@GLIBC_2.3.2
5        8.8e-04  libtbbmalloc.so.2        libtbbmalloc.so.2        rml::internal::Block::adjustPositionInBin(rml::internal::Bin*)
4        7.0e-04  [vdso] (tgid:66663 range:0x7ffead9a4000-0x7ffead9a6000) gnome-settings-daemon    [vdso] (tgid:66663 range:0x7ffead9a4000-0x7ffead9a6000)
4        7.0e-04  gawk                     gawk                     /usr/bin/gawk
4        7.0e-04  ld-2.17.so               ld-2.17.so               _dl_relocate_object
4        7.0e-04  ld-2.17.so               ld-2.17.so               check_match.9524
4        7.0e-04  libc-2.17.so             libc-2.17.so             __fdelt_chk
4        7.0e-04  libc-2.17.so             libc-2.17.so             bsearch
4        7.0e-04  libopensm.so.14.0.0      libopensm.so.14.0.0      /usr/lib64/libopensm.so.14.0.0
4        7.0e-04  libpthread-2.17.so       libpthread-2.17.so       __errno_location
4        7.0e-04  libpthread-2.17.so       libpthread-2.17.so       __read_nocancel
3        5.3e-04  [vdso] (tgid:1316 range:0x7ffc4b5b8000-0x7ffc4b5ba000) avahi-daemon             [vdso] (tgid:1316 range:0x7ffc4b5b8000-0x7ffc4b5ba000)
3        5.3e-04  ld-2.17.so               ld-2.17.so               _dl_fixup
3        5.3e-04  ld-2.17.so               ld-2.17.so               _dl_map_object_from_fd
3        5.3e-04  ld-2.17.so               ld-2.17.so               _dl_runtime_resolve_xsavec
3        5.3e-04  libc-2.17.so             libc-2.17.so             __ctype_get_mb_cur_max
3        5.3e-04  libc-2.17.so             libc-2.17.so             __lxstat
3        5.3e-04  libc-2.17.so             libc-2.17.so             __malloc_fork_unlock_child
3        5.3e-04  libc-2.17.so             libc-2.17.so             _int_realloc
3        5.3e-04  libc-2.17.so             libc-2.17.so             _wordcopy_bwd_dest_aligned
3        5.3e-04  libc-2.17.so             libc-2.17.so             memchr
3        5.3e-04  libc-2.17.so             libc-2.17.so             select
3        5.3e-04  libclutter-1.0.so.0.2000.0 libclutter-1.0.so.0.2000.0 /usr/lib64/libclutter-1.0.so.0.2000.0
3        5.3e-04  libjemalloc.so.2         libjemalloc.so.2         sz_size2index_compute
3        5.3e-04  libmozjs-24.so           libmozjs-24.so           /usr/lib64/libmozjs-24.so
3        5.3e-04  libpcre.so.1.2.0         libpcre.so.1.2.0         /usr/lib64/libpcre.so.1.2.0
3        5.3e-04  libpthread-2.17.so       libpthread-2.17.so       __write_nocancel
3        5.3e-04  libpthread-2.17.so       libpthread-2.17.so       pthread_cond_broadcast@@GLIBC_2.3.2
3        5.3e-04  libpthread-2.17.so       libpthread-2.17.so       recvmsg
3        5.3e-04  libpthread-2.17.so       libpthread-2.17.so       write
2        3.5e-04  avahi-daemon             avahi-daemon             /usr/sbin/avahi-daemon
2        3.5e-04  ld-2.17.so               ld-2.17.so               _dl_lookup_symbol_x
2        3.5e-04  ld-2.17.so               ld-2.17.so               _dl_map_object
2        3.5e-04  libc-2.17.so             libc-2.17.so             _IO_link_in
2        3.5e-04  libc-2.17.so             libc-2.17.so             _IO_no_init
2        3.5e-04  libc-2.17.so             libc-2.17.so             _IO_old_init
2        3.5e-04  libc-2.17.so             libc-2.17.so             _IO_setb
2        3.5e-04  libc-2.17.so             libc-2.17.so             _IO_str_init_static_internal
2        3.5e-04  libc-2.17.so             libc-2.17.so             __alloc_dir
2        3.5e-04  libc-2.17.so             libc-2.17.so             __nanosleep_nocancel
2        3.5e-04  libc-2.17.so             libc-2.17.so             __select_nocancel
2        3.5e-04  libc-2.17.so             libc-2.17.so             __strcasecmp_l_avx
2        3.5e-04  libc-2.17.so             libc-2.17.so             __strcpy_sse2_unaligned
2        3.5e-04  libc-2.17.so             libc-2.17.so             __strncasecmp_avx
2        3.5e-04  libc-2.17.so             libc-2.17.so             __strrchr_sse42
2        3.5e-04  libc-2.17.so             libc-2.17.so             _dl_mcount_wrapper_check
2        3.5e-04  libc-2.17.so             libc-2.17.so             _obstack_newchunk
2        3.5e-04  libc-2.17.so             libc-2.17.so             calloc
2        3.5e-04  libc-2.17.so             libc-2.17.so             getdelim
2        3.5e-04  libc-2.17.so             libc-2.17.so             re_search_internal
2        3.5e-04  libc-2.17.so             libc-2.17.so             strchrnul
2        3.5e-04  libjemalloc.so.2         libjemalloc.so.2         je_extents_dalloc
2        3.5e-04  libjemalloc.so.2         libjemalloc.so.2         ticker_fixup
2        3.5e-04  libprocps.so.4.0.0       libprocps.so.4.0.0       /usr/lib64/libprocps.so.4.0.0
2        3.5e-04  libpthread-2.17.so       libpthread-2.17.so       _L_unlock_594
2        3.5e-04  opensm                   opensm                   /usr/sbin/opensm
2        3.5e-04  systemd                  systemd                  /usr/lib/systemd/systemd
1        1.8e-04  [vdso] (tgid:3670 range:0x7fff363c9000-0x7fff363cb000) packagekitd              [vdso] (tgid:3670 range:0x7fff363c9000-0x7fff363cb000)
1        1.8e-04  [vdso] (tgid:66941 range:0x7ffe90912000-0x7ffe90914000) escd                     [vdso] (tgid:66941 range:0x7ffe90912000-0x7ffe90914000)
1        1.8e-04  cp                       cp                       /usr/bin/cp
1        1.8e-04  goa-identity-service     goa-identity-service     /usr/libexec/goa-identity-service
1        1.8e-04  ld-2.17.so               ld-2.17.so               _dl_catch_error
1        1.8e-04  ld-2.17.so               ld-2.17.so               _dl_load_cache_lookup
1        1.8e-04  ld-2.17.so               ld-2.17.so               _dl_map_object_deps
1        1.8e-04  ld-2.17.so               ld-2.17.so               _dl_setup_hash
1        1.8e-04  ld-2.17.so               ld-2.17.so               _dl_sort_fini
1        1.8e-04  ld-2.17.so               ld-2.17.so               dl_main
1        1.8e-04  ld-2.17.so               ld-2.17.so               mmap
1        1.8e-04  libc-2.17.so             libc-2.17.so             _IO_file_read
1        1.8e-04  libc-2.17.so             libc-2.17.so             _IO_file_write@@GLIBC_2.2.5
1        1.8e-04  libc-2.17.so             libc-2.17.so             _IO_flush_all_lockp
1        1.8e-04  libc-2.17.so             libc-2.17.so             _IO_iter_begin
1        1.8e-04  libc-2.17.so             libc-2.17.so             _IO_un_link
1        1.8e-04  libc-2.17.so             libc-2.17.so             __GI___libc_sigaction
1        1.8e-04  libc-2.17.so             libc-2.17.so             __GI_strchr
1        1.8e-04  libc-2.17.so             libc-2.17.so             __GI_strcmp
1        1.8e-04  libc-2.17.so             libc-2.17.so             __default_morecore
1        1.8e-04  libc-2.17.so             libc-2.17.so             __errno_location
1        1.8e-04  libc-2.17.so             libc-2.17.so             __fopen_internal
1        1.8e-04  libc-2.17.so             libc-2.17.so             __gconv_get_builtin_trans
1        1.8e-04  libc-2.17.so             libc-2.17.so             __open_nocancel
1        1.8e-04  libc-2.17.so             libc-2.17.so             __read_nocancel
1        1.8e-04  libc-2.17.so             libc-2.17.so             __restore_rt
1        1.8e-04  libc-2.17.so             libc-2.17.so             __sprintf_chk
1        1.8e-04  libc-2.17.so             libc-2.17.so             __strstr_sse2
1        1.8e-04  libc-2.17.so             libc-2.17.so             __underflow
1        1.8e-04  libc-2.17.so             libc-2.17.so             __vasprintf_chk
1        1.8e-04  libc-2.17.so             libc-2.17.so             __vsprintf_chk
1        1.8e-04  libc-2.17.so             libc-2.17.so             close
1        1.8e-04  libc-2.17.so             libc-2.17.so             fcntl
1        1.8e-04  libc-2.17.so             libc-2.17.so             fdopendir
1        1.8e-04  libc-2.17.so             libc-2.17.so             iswalnum
1        1.8e-04  libc-2.17.so             libc-2.17.so             putc
1        1.8e-04  libc-2.17.so             libc-2.17.so             read
1        1.8e-04  libc-2.17.so             libc-2.17.so             realloc
1        1.8e-04  libc-2.17.so             libc-2.17.so             sigemptyset
1        1.8e-04  libc-2.17.so             libc-2.17.so             systrim.isra.2
1        1.8e-04  libc-2.17.so             libc-2.17.so             uselocale
1        1.8e-04  libc-2.17.so             libc-2.17.so             usleep
1        1.8e-04  libcogl.so.20.2.0        libcogl.so.20.2.0        /usr/lib64/libcogl.so.20.2.0
1        1.8e-04  libfontconfig.so.1.7.0   libfontconfig.so.1.7.0   /usr/lib64/libfontconfig.so.1.7.0
1        1.8e-04  libgio-2.0.so.0.4600.2   libgio-2.0.so.0.4600.2   /usr/lib64/libgio-2.0.so.0.4600.2
1        1.8e-04  libjemalloc.so.2         libjemalloc.so.2         extent_try_coalesce_impl.isra.84
1        1.8e-04  libjemalloc.so.2         libjemalloc.so.2         je_pages_map
1        1.8e-04  libkrb5.so.3.3           libkrb5.so.3.3           /usr/lib64/libkrb5.so.3.3
1        1.8e-04  libkrb5support.so.0.1    libkrb5support.so.0.1    /usr/lib64/libkrb5support.so.0.1
1        1.8e-04  libmozsqlite3.so         libmozsqlite3.so         /usr/lib64/firefox/libmozsqlite3.so
1        1.8e-04  libosmvendor.so.3.0.8    libosmvendor.so.3.0.8    /usr/lib64/libosmvendor.so.3.0.8
1        1.8e-04  libpam.so.0.83.1         libpam.so.0.83.1         /usr/lib64/libpam.so.0.83.1
1        1.8e-04  libpipeline.so.1.2.3     libpipeline.so.1.2.3     /usr/lib64/libpipeline.so.1.2.3
1        1.8e-04  libpthread-2.17.so       libpthread-2.17.so       _L_lock_1093
1        1.8e-04  libpthread-2.17.so       libpthread-2.17.so       pthread_barrier_wait
1        1.8e-04  libpthread-2.17.so       libpthread-2.17.so       send
1        1.8e-04  libtbbmalloc.so.2        libtbbmalloc.so.2        rml::internal::Bin::moveBlockToFront(rml::internal::Block*)
1        1.8e-04  logrotate                logrotate                /usr/sbin/logrotate
1        1.8e-04  ophelp                   ophelp                   /usr/bin/ophelp
1        1.8e-04  rngd                     rngd                     /usr/sbin/rngd
1        1.8e-04  systemd-journald         systemd-journald         /usr/lib/systemd/systemd-journald
