Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/30/2020 	_x86_64_	(48 CPU)

10:14:05 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:15:34 PM       0     30.00      0.00     69.00      0.00      0.00      1.00
10:15:35 PM       0     34.65      0.00     64.36      0.00      0.00      0.99
10:15:36 PM       0     36.36      0.00     62.63      0.00      0.00      1.01
10:15:37 PM       0     33.66      0.00     64.36      0.00      0.00      1.98
10:15:38 PM       0     34.00      0.00     65.00      0.00      0.00      1.00
10:15:39 PM       0     29.29      0.00     69.70      0.00      0.00      1.01
10:15:40 PM       0     29.41      0.00     66.67      0.00      0.00      3.92
10:15:41 PM       0     27.55      0.00     68.37      0.00      0.00      4.08
10:15:42 PM       0     25.00      0.00     70.00      0.00      0.00      5.00
10:15:43 PM       0     25.77      0.00     68.04      0.00      0.00      6.19
10:15:44 PM       0     23.76      0.00     68.32      0.00      0.00      7.92
10:15:45 PM       0     22.45      0.00     70.41      0.00      0.00      7.14
10:15:46 PM       0     23.23      0.00     68.69      0.00      0.00      8.08
10:15:47 PM       0     21.43      0.00     71.43      0.00      0.00      7.14
10:15:48 PM       0     22.22      0.00     70.71      0.00      0.00      7.07
10:15:49 PM       0     24.49      0.00     68.37      0.00      0.00      7.14
10:15:50 PM       0     26.00      0.00     66.00      0.00      0.00      8.00
10:15:51 PM       0     22.92      0.00     69.79      0.00      0.00      7.29
10:15:52 PM       0     25.00      0.00     67.71      0.00      0.00      7.29
10:15:53 PM       0     21.21      0.00     71.72      0.00      0.00      7.07
10:15:54 PM       0     23.00      0.00     70.00      0.00      0.00      7.00
10:15:55 PM       0     23.00      0.00     70.00      0.00      0.00      7.00
10:15:56 PM       0     21.21      0.00     71.72      0.00      0.00      7.07
10:15:57 PM       0     23.23      0.00     69.70      0.00      0.00      7.07
10:15:58 PM       0     22.45      0.00     70.41      0.00      0.00      7.14
10:15:59 PM       0     24.74      0.00     68.04      0.00      0.00      7.22
10:16:00 PM       0     22.68      0.00     71.13      0.00      0.00      6.19
10:16:01 PM       0     22.92      0.00     69.79      0.00      0.00      7.29
10:16:02 PM       0     23.23      0.00     69.70      0.00      0.00      7.07
