Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/21/2020 	_x86_64_	(48 CPU)

09:01:11 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:01:12 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
09:01:13 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
09:01:14 AM       0     90.10      0.00      9.90      0.00      0.00      0.00
09:01:15 AM       0     84.00      0.00     16.00      0.00      0.00      0.00
09:01:16 AM       0     84.00      0.00     16.00      0.00      0.00      0.00
09:01:17 AM       0     84.00      0.00     16.00      0.00      0.00      0.00
09:01:18 AM       0     84.00      0.00     16.00      0.00      0.00      0.00
09:01:19 AM       0     86.00      0.00     14.00      0.00      0.00      0.00
09:01:20 AM       0     97.00      0.00      3.00      0.00      0.00      0.00
09:01:21 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
Average:          0     90.91      0.00      9.09      0.00      0.00      0.00
