CPU: Intel Skylake microarchitecture, speed 2.701e+06 MHz (estimated)
Counted cpu_clk_unhalted events () with a unit mask of 0x00 (Core cycles when at least one thread on the physical core is not in halt state) count 2100000
Samples on CPU 0
Samples on CPU 1
Samples on CPU 2
Samples on CPU 10
Samples on CPU 12
Samples on CPU 13
Samples on CPU 14
Samples on CPU 16
Samples on CPU 17
Samples on CPU 18
Samples on CPU 19
Samples on CPU 20
Samples on CPU 23
Samples on CPU 25
Samples on CPU 28
Samples on CPU 33
Samples on CPU 36
Samples on CPU 41
Samples on CPU 43
Samples on CPU 44
Samples on CPU 46
samples  %        samples  %        samples  %        samples  %        samples  %        samples  %        samples  %        samples  %        samples  %        samples  %        samples  %        samples  %        samples  %        samples  %        samples  %        samples  %        samples  %        samples  %        samples  %        samples  %        samples  %        image name               app name                 symbol name
1125      1.1052  155       0.0434  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  libjemalloc.so.2         libjemalloc.so.2         malloc
1063      1.0443  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    evmap_io_del_
1036      1.0178  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    epoll_apply_one_change.isra.0
921       0.9048  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  libtbbmalloc.so.2        libtbbmalloc.so.2        rml::internal::Block::privatizePublicFreeList(bool)
907       0.8911  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    evmap_io_add_
897       0.8812  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    evmap_io_active_
889       0.8734  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  libc-2.17.so             libc-2.17.so             __libc_disable_asynccancel
873       0.8577  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    bufferevent_writecb
865       0.8498  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    evbuffer_write_iovec.isra.13
840       0.8252  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  0              0  libevent-2.2.so.1.0.0    libevent-2.2.so.1.0.0    event_del_nolock_
