Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/21/2020 	_x86_64_	(48 CPU)

08:42:01 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:42:02 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
08:42:03 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
08:42:04 AM       0      8.91      0.00     14.85      0.00      0.00     76.24
08:42:05 AM       0     30.61      0.00     61.22      0.00      0.00      8.16
08:42:06 AM       0     22.77      0.00     58.42      0.00      0.00     18.81
08:42:07 AM       0     19.05      0.00     58.10      0.00      0.00     22.86
08:42:08 AM       0      7.07      0.00     23.23      0.00      0.00     69.70
08:42:09 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
08:42:10 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
08:42:11 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
Average:          0      8.86      0.00     21.71      0.00      0.00     69.42
