Linux 3.10.0-514.el7.x86_64 (localhost.localdomain) 	03/21/2020 	_x86_64_	(48 CPU)

09:00:52 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:00:53 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
09:00:54 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
09:00:55 AM       0     94.06      0.00      5.94      0.00      0.00      0.00
09:00:56 AM       0     83.00      0.00     17.00      0.00      0.00      0.00
09:00:57 AM       0     82.00      0.00     18.00      0.00      0.00      0.00
09:00:58 AM       0     82.00      0.00     18.00      0.00      0.00      0.00
09:00:59 AM       0     86.87      0.00     13.13      0.00      0.00      0.00
09:01:00 AM       0     99.01      0.00      0.99      0.00      0.00      0.00
09:01:01 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
09:01:02 AM       0    100.00      0.00      0.00      0.00      0.00      0.00
Average:          0     92.71      0.00      7.29      0.00      0.00      0.00
